,MoleculeID,CERAPP_Ago_pred,CERAPP_Anta_pred,CERAPP_Bind_pred,CoMPARA_Ago_pred,CoMPARA_Anta_pred,CoMPARA_Bind_pred,CATMoS_VT_pred,CATMoS_NT_pred,CATMoS_EPA_pred,CATMoS_GHS_pred,CATMoS_LD50_pred,dtxsid,group_str,final_picks
2530,DTXSID2051554,0.0,0.0,0,0.0,0.0,0,0,0,3,4,772.0,DTXSID2051554,"('Organoheterocyclic compounds', 1.0)",
2531,DTXSID9026924,0.0,0.0,0,0.0,0.0,0,0,0,3,4,1180.0,DTXSID9026924,"('Organic nitrogen compounds', 6.0)",
2532,DTXSID50885627,0.0,0.0,0,0.0,0.0,0,0,0,3,4,864.0,DTXSID50885627,"('Prenol lipids', 1.0)",
2533,DTXSID50888855,0.0,0.0,0,0.0,1.0,1,0,1,3,5,2425.0,DTXSID50888855,"('Pyridines and derivatives', 2.0)",
2534,DTXSID2032390,0.0,1.0,1,0.0,1.0,1,0,1,3,5,2687.0,DTXSID2032390,"('Benzene and substituted derivatives', 10.0)",
2535,DTXSID3059004,0.0,0.0,0,0.0,0.0,0,0,1,3,5,2342.0,DTXSID3059004,"('Naphthalenes', 2.0)",
2536,DTXSID0061325,0.0,0.0,0,0.0,0.0,0,0,0,3,4,908.0,DTXSID0061325,"('Benzene and substituted derivatives', 10.0)",
2537,DTXSID7024370,0.0,0.0,0,0.0,0.0,0,0,1,3,5,2319.0,DTXSID7024370,"('Hydrocarbons', 3.0)",
2538,DTXSID6021292,0.0,0.0,0,0.0,0.0,0,0,1,4,5,6673.0,DTXSID6021292,"('Benzene and substituted derivatives', 10.0)",
2539,DTXSID80865614,0.0,0.0,0,0.0,0.0,0,0,1,4,5,6260.0,DTXSID80865614,"('Carboxylic acids and derivatives', 2.0)",
2540,DTXSID1059369,0.0,0.0,0,0.0,0.0,0,0,1,4,5,10490.0,DTXSID1059369,"('Fatty Acyls', 3.0)",
2541,DTXSID5052593,0.0,0.0,0,0.0,0.0,0,0,0,2,3,238.0,DTXSID5052593,"('Benzene and substituted derivatives', 8.0)",
2542,DTXSID0060640,0.0,0.0,0,0.0,0.0,0,0,0,3,4,883.0,DTXSID0060640,"('Organoheterocyclic compounds', 1.0)",
2543,DTXSID5066291,0.0,0.0,0,0.0,0.0,0,0,1,3,5,3037.0,DTXSID5066291,"('Organometallic compounds', 3.0)",
2544,DTXSID00883451,0.0,0.0,0,0.0,0.0,0,0,0,3,4,658.0,DTXSID00883451,"('Carboxylic acids and derivatives', 5.0)",
2545,DTXSID7060093,0.0,0.0,0,0.0,0.0,0,0,0,3,4,607.0,DTXSID7060093,"('Benzenoids', 2.0)",
2546,DTXSID0070499,0.0,0.0,0,0.0,0.0,0,0,1,4,5,7044.0,DTXSID0070499,"('Fatty Acyls', 1.0)",
2547,DTXSID8064482,0.0,1.0,1,0.0,1.0,1,0,1,3,5,2587.0,DTXSID8064482,"('Organoheterocyclic compounds', 1.0)",
2548,DTXSID1049350,0.0,0.0,0,0.0,0.0,0,0,0,2,3,282.0,DTXSID1049350,"('Organohalogen compounds', 1.0)",
2549,DTXSID30697508,0.0,0.0,0,0.0,0.0,0,0,1,3,5,3752.0,DTXSID30697508,"('Benzene and substituted derivatives', 5.0)",
2550,DTXSID8024105,0.0,0.0,0,0.0,1.0,1,0,1,3,5,2528.0,DTXSID8024105,"('Benzenoids', 3.0)",
2551,DTXSID7060673,0.0,0.0,0,0.0,0.0,0,0,0,2,3,234.0,DTXSID7060673,"('Carboxylic acids and derivatives', 5.0)",
2552,DTXSID1052454,0.0,0.0,0,0.0,0.0,0,0,1,4,5,5772.0,DTXSID1052454,"('Lactones', nan)",
2553,DTXSID9063374,1.0,0.0,1,0.0,0.0,0,0,0,3,4,1239.0,DTXSID9063374,"('Benzene and substituted derivatives', 6.0)",
2554,DTXSID5024475,0.0,0.0,0,0.0,0.0,0,0,0,3,4,827.0,DTXSID5024475,"('Carboxylic acids and derivatives', 2.0)",
2555,DTXSID0023826,0.0,0.0,0,0.0,0.0,0,0,0,3,4,1168.0,DTXSID0023826,"('Organic nitrogen compounds', 3.0)",
2556,DTXSID2028270,0.0,0.0,0,0.0,1.0,1,0,0,3,4,998.0,DTXSID2028270,"('Organoheterocyclic compounds', 2.0)",
2557,DTXSID60884601,0.0,0.0,0,0.0,0.0,0,0,1,3,5,2543.0,DTXSID60884601,"('Fatty Acyls', 1.0)",
2558,DTXSID5042039,0.0,0.0,1,0.0,0.0,0,0,1,4,5,6259.0,DTXSID5042039,"('Fatty Acyls', 5.0)",
2559,DTXSID0020943,0.0,0.0,0,0.0,0.0,0,0,1,3,5,2559.0,DTXSID0020943,"('Benzene and substituted derivatives', 3.0)",
2560,DTXSID3022455,0.0,0.0,0,0.0,0.0,0,0,1,3,5,3513.0,DTXSID3022455,"('Benzene and substituted derivatives', 4.0)",
2561,DTXSID4062850,1.0,1.0,1,0.0,0.0,0,0,1,3,5,2626.0,DTXSID4062850,"('Benzene and substituted derivatives', 1.0)",
2562,DTXSID4061387,0.0,0.0,0,0.0,0.0,0,0,0,2,3,228.0,DTXSID4061387,"('Organic nitrogen compounds', 3.0)",
2563,DTXSID0029557,0.0,0.0,0,0.0,0.0,0,0,0,2,3,262.0,DTXSID0029557,"('Organic phosphoric acids and derivatives', 3.0)",
2564,DTXSID2059221,0.0,0.0,0,0.0,0.0,0,0,0,3,4,1468.0,DTXSID2059221,"('Benzene and substituted derivatives', 1.0)",
2565,DTXSID0039229,0.0,0.0,0,0.0,0.0,0,0,0,3,4,563.0,DTXSID0039229,"('Carboxylic acids and derivatives', 1.0)",
2566,DTXSID3061504,0.0,0.0,0,0.0,0.0,0,0,0,3,4,756.0,DTXSID3061504,"('Organometallic compounds', 2.0)",
2567,DTXSID5072985,0.0,0.0,0,1.0,1.0,1,0,1,4,5,5098.0,DTXSID5072985,"('Anthracenes', 9.0)",
2568,DTXSID6051358,0.0,0.0,0,0.0,0.0,0,0,1,3,5,2266.0,DTXSID6051358,"('Other', 1.0)",
2569,DTXSID5061904,0.0,0.0,0,0.0,0.0,0,0,1,3,5,2454.0,DTXSID5061904,"('Benzene and substituted derivatives', 7.0)",
2570,DTXSID5025079,0.0,0.0,0,0.0,0.0,0,0,0,2,3,243.0,DTXSID5025079,"('Organic nitrogen compounds', 4.0)",
